date,content,hours,minutes,memo,tag
2025-09-30,オリジナルWebアプリ開発（READMEの作成: シーケンス図・クラス図の作成）,5,45,フロー図はやめてシーケンス図にした。ER図と合わせて計5枚になったけど、ひとつひとつが細かくて見づらい気もしている🤔,"#Java, #SpringBoot, #Webアプリ開発, #個人開発, #えらいコレクト"
2025-09-30,オリジナルWebアプリ開発（READMEの作成: 工夫したところ（途中））,1,0,工夫したところはユーザーを意識した工夫と技術的な工夫の2視点で書いているところ。,"#Java, #SpringBoot, #Webアプリ開発, #個人開発, #えらいコレクト"
2025-09-29,オリジナルWebアプリ開発（READMEの作成: フロー図・クラス図の作成（途中））,5,0,,"#Java, #SpringBoot, #Webアプリ開発, #個人開発, #えらいコレクト"
2025-09-28,オリジナルWebアプリ開発（拡張機能（予定）のためにDBカラムを一部追加）,1,30,本番デプロイ後にDBの構成を変更しなくても良いように、拡張機能（予定）用に必要なカラムを追加しておくことにした。それに伴ってコードも一部微修正。,"#Java, #SpringBoot, #Webアプリ開発, #個人開発, #えらいコレクト, #MySQL, #MyBatis"
2025-09-28,オリジナルWebアプリ開発（READMEの作成: 機能一覧、ER図作成、クラス図作成（途中））,3,45,機能一覧を書いて、ER図に初挑戦！ テーブル数が多いからごちゃごちゃ見えないように、カラムは書かずにテーブル間の関係性のみにした。,"#Java, #SpringBoot, #Webアプリ開発, #個人開発, #えらいコレクト, #MySQL, #MyBatis"
2025-09-27,オリジナルWebアプリ開発（コード修正）,2,30,ユーザー登録時のメールアドレス入力を任意に変更。それに伴いカラム設定からNOT NULLを削除。,"#Java, #SpringBoot, #Webアプリ開発, #個人開発, #えらいコレクト, #MySQL, #MyBatis, #Thymeleaf, #HTML, #CSS, #Docker"
2025-09-27,オリジナルWebアプリ開発（READMEの作成: デモ動画の収録（途中））,0,15,,"#Java, #SpringBoot, #Webアプリ開発, #個人開発, #えらいコレクト"
2025-09-27,オリジナルWebアプリ開発（デプロイ準備: docker-compose.yamlの作成）,1,15,MySQLのみ設定していたdocker-composeを修正し、アプリとMySQLを設定した開発用のdocker-compose.override.yamlとdocker-compose.yamlをそれぞれ作成。,"#Java, #SpringBoot, #Webアプリ開発, #個人開発, #えらいコレクト, #MySQL, #MyBatis, #Docker"
2025-09-26,オリジナルWebアプリ開発（コーディング）,2,0,ユーザー登録のバリデーションとしてメールアドレスを必須にするのは、アプリを試してもらうハードルが高くなるかも、と思ったのでそこだけ直す（拡張機能としてメールアドレス認証によるパスワードの再設定を検討していた）。,"#Java, #SpringBoot, #Webアプリ開発, #個人開発, #えらいコレクト, #MySQL, #MyBatis, #Thymeleaf, #HTML, #CSS, #Docker"
2025-09-26,オリジナルWebアプリ開発（READMEの作成（途中））,1,0,,"#Java, #SpringBoot, #Webアプリ開発, #個人開発, #えらいコレクト"
2025-09-26,"オリジナルWebアプリ開発（デプロイ準備: Dockerfile, .dockerignoreの作成）",3,0,MySQLはすでにコンテナで構築していたけど、Dockerfileを作成してアプリもコンテナ化する。EC2無料枠を使用予定のため、軽量になるようにChatGPTと相談してイメージを決めた。,"#Java, #SpringBoot, #Webアプリ開発, #個人開発, #えらいコレクト, #Docker"
2025-09-25,オリジナルWebアプリ開発（最終見直し（途中）、バグ修正、バリデーションの追加、Javadoc&コメントアウトの修正）,6,0,昨日発見したバグ修正とバリデーションチェック漏れの修正の続き。エラーメッセージを出すときになぜかmessages .propertiesのパラメータが効かなくて苦戦💦 結局パラメータは使用せずにそれぞれ分けることにして、例外の種類のenumで引数に応じたメッセージキーを取得できるようにしたのだけど、メッセージキーは正しく取得できているのに、なぜかデフォルトメッセージ表示されてしまう謎🤔 キャッシュか何かが影響していそうな感じがしたのでクリアしても解決せず💦 デフォルトメッセージでも問題ないといえばないので、一旦保留にしてデプロイ前に再チャレンジすることに！,"#Java, #SpringBoot, #Webアプリ開発, #個人開発, #えらいコレクト, #MySQL, #MyBatis, #Thymeleaf, #HTML, #CSS"
